이름,링크,태그,업로드,업로드한 채널,마지막업로드
✅로보락 S8 MaxV Ultra 로봇청소기 S82USV,https://link.coupang.com/a/cbxqQC,#로보락 #로봇청소기 #청소이모 #자동청소 #AI로봇청소기 #물걸레로봇청소기 #자동세척로봇청소기,불가,"5, 6, 7, 8",2025년 1월 25일 오후 8:26
✅쿠쿠 리네이처 안마의자,https://link.coupang.com/a/cbxpG9,#안마의자 #효도선물 #리네이처 #쿠쿠 #안마기 #전신안마,불가,"1, 2, 3",2025년 1월 25일 오후 6:31
✅삼성전자 4K UHD QLED 스마트 TV,https://link.coupang.com/a/cbtjYq,#가성비티비#4KTV#QLEDTV#UHD티비#85인치티비#티비추천#삼성티비#스마트TV#KQ85QD67AFXFR#티비추천,불가,"5, 6, 7, 8",2025년 1월 24일 오후 11:33
✅삼성전자 갤럭시북4 프로 NT960,https://link.coupang.com/a/b90t4c,#삼성갤럭시북4프로 #노트북할인 #학생노트북추천 #가성비노트북 #노트북세일 #AI노트북,불가,"10, 4, 9",2025년 1월 24일 오후 11:32
✅삼성전자 그랑데 통버블 세탁기,https://link.coupang.com/a/cbrNZ2, #삼성그랑데통버블 #삼성세탁기 #WA16CG6441BY #통돌기세탁기 #비스포크 #가성비세탁기 #세탁기추천,불가,"1, 2, 3",2025년 1월 24일 오후 11:32
✅ HP 자비스 노트북,https://link.coupang.com/a/cbhIxf,#노트북추천 #사무용노트북#HP노트북 #자비스노트북 #가성비노트북 #대학생노트북 #15-fd1029TU,불가,,2025년 1월 24일 오후 4:37
✅ HP 오멘16 노트북,https://link.coupang.com/a/cbfwLV,#노트북추천 #게이밍노트북 #HP노트북 #오멘16 #가성비노트북 #사무용노트북,불가,,2025년 1월 24일 오후 4:36
✅삼성전자 비스포크 905L 프리스탠딩,https://link.coupang.com/a/caYTfO,#냉장고추천 #비스포크 #4도어냉장고 #양문형냉장고 #AI냉장고,불가,,2025년 1월 24일 오후 4:36
✅에이수스 2024 비보북 S 16 OLED,https://link.coupang.com/a/caNaG9,#ASUS비보북S16 #인텔코어Ultra7 #OLED노트북 #2024신제품노트북 #노트북할인 #크리에이터노트북,불가,,2025년 1월 24일 오후 4:35
✅삼성전자 갤럭시북5 프로,https://link.coupang.com/a/caAYCc,#갤럭시북5프로 #삼성노트북 #노트북추천 #슬림노트북 #AI노트북 #루나레이크 #인텔울트라노트북 #휴대용노트북 #가벼운노트북 #코파일럿PC #고성능노트북,불가,,2025년 1월 24일 오후 4:35
✅LG전자 디오스 오브제컬렉션 3도어 327L 스탠드형,https://link.coupang.com/a/caryNL,#LG냉장고 #엘지냉장고 #LG김치냉장고 #오브제컬렉션 #김치냉장고,불가,,2025년 1월 24일 오후 4:34
✅레노버 LOQ 15ARP9,https://link.coupang.com/a/cakSJq,#레노버노트북 #레노버LOQ15 #게이밍노트북 #노트북추천 #대학생노트북 #영상편집노트북,불가,,2025년 1월 24일 오후 4:34
✅LG전자 2024 그램 Pro 16 코어Ultra5,https://link.coupang.com/a/b98q9m,#LG그램 #엘지그램 #그램프로 #그램16인치 #LG노트북그램,불가,,2025년 1월 24일 오후 4:33
✅LG전자 그램 Pro 360 16 코어Ultra5,https://link.coupang.com/a/b9Nsa9,#LG그램 #그램프로울트라 #노트북세일 #대학생노트북 #노트북추천,불가,,2025년 1월 24일 오후 4:33
✅삼성전자 Q 사운드바,https://link.coupang.com/a/b9Duba,#사운드바 #사운드바추천 #삼성사운드바 #스피커추천,불가,,2025년 1월 24일 오후 4:32
✅삼성전자 갤럭시탭 S10 플러스,https://link.coupang.com/a/b9rH06,#갤럭시탭S10 #갤럭시탭s9fe #갤럭시탭s9 #갤럭시북,불가,,2025년 1월 24일 오후 4:32
✅TCL 4K UHD LED 스마트TV,https://link.coupang.com/a/b9ksdD,#스마트티비 #4KTV #스마트모니터 #98인치티비,불가,,2025년 1월 24일 오후 4:32
✅LG전자 울트라기어 게이밍모니터,https://link.coupang.com/a/b9ak8E,#lg노트북 #노트북추천 #lg그램14인치 #lg그램16인치 #lg그램프로,불가,,2025년 1월 24일 오후 4:31
✅LG전자 울트라기어 게이밍모니터,https://link.coupang.com/a/b8OnUT,#모니터 #LG모니터 #게이밍모니터 #LG울트라기어,불가,,2025년 1월 24일 오후 4:31
✅기가바이트 2024 G5 KF5-H3KR 15.6 코어i7 인텔 13세대 지포스 RTX 4060,https://link.coupang.com/a/cbxrYx,#기가바이트 #게이밍노트북 #가성비노트북 #대학생노트북 #RTX4060,불가,"10, 4, 9",2025년 1월 25일 오후 6:31